"Company ID","giving_type"
"3,480","Staff Involvement - Volunteering"
"3,480","Payroll or Employee Giving"
"3,480","Donations"
"3,480","Sponsorship"
"3,481","Gifts-in-kind/Contra/Pro Bono"
"3,484","Sponsorship"
"3,484","Staff Involvement"
"3,484","Gifts-in-kind/Contra/Pro Bono"
"2,334","Gifts-in-kind/Contra/Pro Bono"
"3,487","Sponsorship"
"3,487","Gifts-in-kind/Contra/Pro Bono"
"3,487","Donations"
"3,489","Sponsorship"
"3,489","Staff Involvement - Mentoring"
"3,489","Gifts-in-kind/Contra/Pro Bono"
"3,490","Sponsorship"
"3,490","Staff Involvement - Volunteering"
"3,535","Cause Related Marketing"
"3,539","Sponsorship"
"3,539","Staff Involvement - Fundraising"
"3,539","Staff Involvement - Volunteering"
"3,540","Sponsorship"
"3,540","Gifts-in-kind/Contra/Pro Bono"
"3,540","Foundation Grants"
"3,541","Sponsorship"
"3,542","Sponsorship"
"3,544","Sponsorship"
"3,544","Donations"
"3,545","Sponsorship"
"3,545","Gifts-in-kind/Contra/Pro Bono"
"3,547","Sponsorship"
"3,547","Staff Involvement - Volunteering"
"3,547","Staff Involvement - Fundraising"
"3,547","Gifts-in-kind/Contra/Pro Bono"
"3,548","Sponsorship"
"3,548","Products, Equipment and Services"
"3,550","Staff involvement - Volunteering"
"3,550","Payroll or Employee Giving"
"3,550","Foundation Grants"
"3,551","Sponsorship"
"3,551","Gifts-in-kind/Contra/Pro Bono"
"3,553","Sponsorship"
"3,553","Staff Involvement - Volunteering"
"3,553","Products, Equipment and Services"
"2,742","Gifts-in-kind/Contra/Pro Bono"
"2,742","Staff Involvement - Volunteering"
"2,742","Staff Involvement - Fundraising"
"2,742","Sponsorship"
"3,555","Sponsorship"
"3,555","Donations"
"3,557","Sponsorship"
"3,557","Donations"
"3,557","Gifts-in-Kind/Contra/Pro bono"
"3,558","Sponsorship"
"3,558","Donations"
"3,559","Sponsorship"
"3,559","Donations"
"3,559","Staff Involvement - Fundraising"
"3,559","Gifts-in-kind/Contra/Pro Bono"
"3,546","Sponsorship"
"3,546","Products, Equipment and Services"
"2,237","Sponsorship"
"2,237","Products, Equipment and Services"
"3,565","Sponsorship"
"3,565","Staff Involvement - Fundraising"
"3,565","Staff Involvement - Volunteering"
"3,565","Donations"
"2,236","Staff Involvement - Volunteering"
"3,343","Sponsorship"
"1,258","Cause Related Marketing"
"3,567","Cause Related Marketing"
"3,567","Staff Involvement - Volunteering"
"3,567","Foundation Grants"
"3,568","Sponsorship"
"3,568","Staff Involvement"
"3,569","Sponsorship"
"3,569","Cause Related Marketing"
"3,569","Staff Involvement - Volunteering"
"3,569","Staff Involvement - Mentoring"
"3,569","Gifts-in-kind/Contra/Pro Bono"
"3,571","Gifts-in-kind/Contra/Pro Bono"
"3,572","Sponsorship"
"3,572","Cause Related Marketing"
"3,572","Gifts-in-kind/Contra/Pro Bono"
"2,742","Scholarships"
"2,237","Exchange Programmes"
"3,555","Exchange Programmes"
"3,558","Education-Equipment and Materials"
"3,545","Scholarships"
"3,480","Scholarships"
"3,544","Scholarships"
"3,573","Sponsorship"
"3,573","Staff Involvement - Fundraising"
"3,573","Staff Involvement - Volunteering"
"3,573","Donations"
"3,574","Sponsorship"
"3,574","Products, Equipment and Services"
"3,575","Sponsorship"
"3,575","Scholarships"
"3,575","Staff Involvement - Volunteering"
"3,575","Staff Involvement - Mentoring"
"3,575","Staff Involvement - Fundraising"
"3,576","Sponsorship"
"3,578","Sponsorship"
"3,578","Gifts-in-kind/Contra/Pro Bono"
"3,580","Sponsorship"
"3,580","Gifts-in-kind/Contra/Pro Bono"
"3,580","Staff Involvement"
"3,581","Sponsorship"
"3,581","Products, Equipment and Services"
"3,581","Staff Involvement"
"3,582","Sponsorship"
"3,582","Gifts-in-kind/Contra/Pro Bono"
"3,460","Sponsorship"
"3,460","Gifts-in-kind/Contra/Pro Bono"
"3,584","Sponsorship"
"3,584","Foundation Grants"
"3,583","Sponsorship"
"3,583","Cause Related Marketing"
"3,585","Products, Equipment and Services"
"3,585","Staff Involvement - Volunteering"
"3,585","Sponsorship"
"2,461","Sponsorship"
"2,461","Staff Involvement"
"2,461","Payroll or Employee Giving"
"2,461","Gifts-in-kind/Contra/Pro Bono"
"2,461","Foundation Grants"
"3,594","Sponsorship"
"3,594","Cause Related Marketing"
"3,594","Staff Involvement"
"3,594","Gifts-in-kind/Contra/Pro Bono"
"3,595","Sponsorship"
"3,595","Scholarships and Education"
"3,596","Donations"
"3,599","Sponsorship"
"3,599","Cause Related Marketing"
"3,599","Scholarships and Education"
"3,601","Sponsorship"
"3,601","Cause Related Marketing"
"3,601","Staff Involvement - Volunteering"
