Company ID,description,type
"1,258",Clothing,activity
"1,258",Education,keyword
"1,258",National,region
"1,258",Retail,activity
"1,946",Business and Enterprise,keyword
"1,946",Business Incubation,keyword
"1,946",Business Services,activity
"1,946",Education,keyword
"1,946",Financial Services,activity
"1,946",Innovation,keyword
"1,946",Leadership,keyword
"1,946",National,region
"1,946",Tertiary Education,keyword
"1,946",Theatre Companies and Theatres,keyword
"1,946",Youth,keyword
"2,236",Auckland,region
"2,236",Business Services,activity
"2,236",Christchurch,region
"2,236",Community Organisations and Charities,keyword
"2,236",Dunedin,region
"2,236",Hamilton,region
"2,236",Information Technology,activity
"2,236",Wellington,region
"2,237",Agriculture,activity
"2,237",Animal Welfare,keyword
"2,237",Animals,keyword
"2,237",Arts,keyword
"2,237",Chemicals and Plastics,activity
"2,237",Community Development,keyword
"2,237",Community Organisations and Charities,keyword
"2,237",Disaster Relief,keyword
"2,237",Diseases and Conditions,keyword
"2,237",Diversity And Culture,keyword
"2,237",Education,keyword
"2,237",Emergencies,keyword
"2,237",Environment,keyword
"2,237",Health,activity
"2,237",Health,keyword
"2,237",Medical Research,keyword
"2,237",National,region
"2,237",Research,keyword
"2,333",Art Centres and Galleries,keyword
"2,333",Arts,keyword
"2,333",Arts Festivals,keyword
"2,333",Business and Enterprise,keyword
"2,333",Business Incubation,keyword
"2,333",Classical Musicians and Orchestras,keyword
"2,333",Community Development,keyword
"2,333",Community Organisations and Charities,keyword
"2,333",Disability,keyword
"2,333",Education,keyword
"2,333",Educational skills development,keyword
"2,333",Film,keyword
"2,333",Learning disabilities,keyword
"2,333",National,region
"2,333",Rowing,keyword
"2,333",Rugby Union,keyword
"2,333",Sport,keyword
"2,333",Telecommunications,activity
"2,333",Youth,keyword
"2,334",,region
"2,334",Aviation and Airport Operators,activity
"2,334",Cultural Festivals,keyword
"2,334",Film,keyword
"2,334",Photography,keyword
"2,334",Post and Freight,activity
"2,334",Running,keyword
"2,334",Table Tennis,keyword
"2,334",Transport,activity
"2,461",Amenities Management and Care,activity
"2,461",Arts,keyword
"2,461",Blindness and Visual Impairment,keyword
"2,461",Deafness and Hearing Impairment,keyword
"2,461",Digital Divide,keyword
"2,461",Disability,keyword
"2,461",Diversity And Culture,keyword
"2,461",Equal Opportunities,keyword
"2,461",Extreme Sports,keyword
"2,461",Fashion,keyword
"2,461",Film,keyword
"2,461",ICT,keyword
"2,461",National,region
"2,461",Personal Development,keyword
"2,461",Rock Music,keyword
"2,461",Rugby League,keyword
"2,461",Rugby Union,keyword
"2,461",Sport,keyword
"2,461",Technology,keyword
"2,461",Telecommunications,activity
"2,503",Children and Babies,keyword
"2,503",Community Development,keyword
"2,503",Community Organisations and Charities,keyword
"2,503",Disaster Relief,keyword
"2,503",Emergencies,keyword
"2,503",Families,keyword
"2,503",Funding and Fundraising,keyword
"2,503",Housing and homelessness,keyword
"2,503",National,region
"2,503",Retail,activity
"2,503",Road Safety,keyword
"2,503",Rural Communities,keyword
"2,503",Women,keyword
"2,742",Arts,keyword
"2,742",Arts Festivals,keyword
"2,742",Community Organisations and Charities,keyword
"2,742",Cultural Festivals,keyword
"2,742",Entertainment,activity
"2,742",Funding and Fundraising,keyword
"2,742",Media,activity
"2,742",National,region
"2,742",Sector Development,keyword
"2,742",Sports,keyword
"2,742",Theatre Companies and Theatres,keyword
"2,742",Youth,keyword
"2,830",Arts,keyword
"2,830",Aviation and Airport Operators,activity
"2,830",Community Organisations and Charities,keyword
"2,830",Media and Communications,keyword
"2,830",National,region
"2,830",Sport,keyword
"2,830",Travel and Tourism,activity
"2,834",Cancer,keyword
"2,834",Canterbury,region
"2,834",Children,keyword
"2,834",Community Awards,keyword
"2,834",Community Development,keyword
"2,834",Community Organisations and Charities,keyword
"2,834",Conservation,keyword
"2,834",Environment,keyword
"2,834",Heritage,keyword
"2,834",Ports,activity
"2,834",Post and Freight,activity
"2,834",Rugby Union,keyword
"2,834",Transport,activity
"2,834",Water Sports,keyword
"2,850",Accidents and Prevention,keyword
"2,850",Arts,keyword
"2,850",Auckland,region
"2,850",Business and Enterprise,keyword
"2,850",Conservation,keyword
"2,850",Environment,keyword
"2,850",Legal,activity
"2,850",Maori Education,keyword
"2,850",Recycling,keyword
"2,850",Safety,keyword
"2,850",Wellington,region
"3,343",Arts,keyword
"3,343",Auckland,region
"3,343","Christchurch,Wellington",region
"3,343",Legal,activity
"3,343",Literature,keyword
"3,343",Sector Development,keyword
"3,460",Arts,keyword
"3,460",Banking,activity
"3,460",Business Services,activity
"3,460",Children,keyword
"3,460",Community Organisations and Charities,keyword
"3,460",Dance,keyword
"3,460",Literature,keyword
"3,460",National,region
"3,460",Post and Freight,activity
"3,480",Conservation,keyword
"3,480",Education,keyword
"3,480",Electricity and Gas Industry,activity
"3,480",Environment,keyword
"3,480",Maori Education,keyword
"3,480",National,region
"3,480",Research,keyword
"3,480",Rural,region
"3,480",Rural Communities,keyword
"3,480",Science,keyword
"3,480",Tertiary Education,keyword
"3,481",Accidents and Prevention,keyword
"3,481",Conservation,keyword
"3,481",Energy Efficiency,keyword
"3,481",Environment,keyword
"3,481",National,region
"3,481",Oil and Petroleum,activity
"3,481",Road Safety,keyword
"3,481",Taranaki,region
"3,484",Education,keyword
"3,484",Environment,keyword
"3,484",Health,keyword
"3,484",Manufacturing,activity
"3,484",Safety,keyword
"3,484",Southland,region
"3,487",Business and Enterprise,keyword
"3,487",Chemicals and Plastics,activity
"3,487",Community Development,keyword
"3,487",Education,keyword
"3,487",Environment,keyword
"3,487",National,region
"3,487",Oil and Petroleum,activity
"3,487",Retail,activity
"3,487",Surf-Lifesaving,keyword
"3,487",Youth,keyword
"3,489",Arts,keyword
"3,489",Auckland,region
"3,489",Business Incubation,keyword
"3,489",Christchurch,region
"3,489",Classical Musicians and Orchestras,keyword
"3,489",Economic Development,keyword
"3,489",Legal,activity
"3,489",Personal Development,keyword
"3,489",Poverty,keyword
"3,489",Tertiary Education,keyword
"3,489",Theatre Companies and Theatres,keyword
"3,489",Voluntary Sector,keyword
"3,489",Wellington,region
"3,489",Youth,keyword
"3,490",Asthma and Respiratory Disease,keyword
"3,490",Clutha,region
"3,490",Conservation,keyword
"3,490",Dunedin,region
"3,490",Electricity Retailing,activity
"3,490",Energy Efficiency,keyword
"3,490",Environment,keyword
"3,490",Gas Retailing,activity
"3,490",Hamilton,region
"3,490",Hawkes Bay,region
"3,490",Health,keyword
"3,490",Healthy Homes,keyword
"3,490",Horowhenua,region
"3,490",Housing,keyword
"3,490",Kapiti Coast,region
"3,490",Manukau,region
"3,490",National,region
"3,490",Nelson,region
"3,490",New Plymouth,region
"3,490",Northland,region
"3,490",South Canterbury,region
"3,490",Stratford,region
"3,490",Tasman,region
"3,490",Taupo,region
"3,535",Cancer,keyword
"3,535",Clothing,activity
"3,535",National,region
"3,535",Overseas Aid and Development,keyword
"3,535",Retail,activity
"3,535",Women,keyword
"3,539",Arthritis,keyword
"3,539",Diseases and Conditions,keyword
"3,539",HIV/AIDS,keyword
"3,539",Media and Communications,keyword
"3,539",National,region
"3,539",Pharmaceutical,activity
"3,539",Science,keyword
"3,540",Agriculture,keyword
"3,540",Arts,keyword
"3,540",Automotive,activity
"3,540",Career and Skills Development,keyword
"3,540",Classical Musicians and Orchestras,keyword
"3,540",Conservation,keyword
"3,540",Education,keyword
"3,540",Employment,keyword
"3,540",Environment,keyword
"3,540",National,region
"3,540",Sector Development,keyword
"3,541",Arts,keyword
"3,541",Auckland,region
"3,541",Business and Enterprise,keyword
"3,541",Electricity Retailing,activity
"3,541",Gas Retailing,activity
"3,541",Sports,keyword
