term,parent
Accidents and Prevention,Safety
Accountancy,Financial Services
Active Lifestyles,Health
Addiction,Addiction
Adoption and Fostering,Children and babies
Advertising and Marketing,Advertising and Marketing
Advice and Information Services,Information
Agricultural Research,Agriculture and Forestry
Agriculture,Agriculture and Forestry
Agriculture and Forestry,Agriculture and Forestry
Alcohol Abuse,Addiction
Alternative Medicine,Health
Amenities Management and Care,
Amenities Management and Care,Business Services
Animal Companions,Animals
Animal Welfare,Animals
Animals,Animals
Anti-Nuclear,Anti-Nuclear
Architecture and Planning,Architecture and Planning
Art Centres and Galleries,Arts
Arthritis,Health
Arts,Arts
Arts Festivals,Arts
Asthma and Respiratory Disease,Health
Athletics,Sport
Automotive,Automotive
Aviation and Airport Operators,Aviation and Airport Operators
Aviation and Transport,Aviation and Transport
Badminton,Sport
Banking,Banking
Basketball,Sport
Bedding,Health
Bedding,Household and Personal Care
Bedding,Manufacturing
Blindness and Visual Impairment,Disability
Book Publishing,Media and communications
Bowls,Sport
Brewers and Distillers,Food and Beverages
Building and Construction,Building and Construction
Buildings and Architecture,Heritage
Business and enterprise,Business and enterprise
Business Incubation,Business and enterprise
Business Services,Business Services
Business to Business,Business Services
Cancer,Health
Career and skills development,Personal development
Career Development,Employment
Catholics,Religion
Cause Related Marketing,Cause Related Marketing
Chemicals and Plastics,Chemicals and Plastics
Children and babies,Children and babies
Choirs,Arts
Christianity,Religion
Classical Musicians and Orchestras,Arts
Clinics and hospices,Health
Clothing,Clothing
Community Awards,Community Development
Community development,Community development
Community Organisations and Charities,Community development
Concert Venues,Arts
Conservation,Environment
Counselling,Mental health
Cricket,Sport
Crime and justice,Crime and justice
Cultural Festivals,Diversity and culture
Cycling,Sport
Cystic Fibrosis,Health
Dance,Arts
Deafness and Hearing Impairment,Disability
Depression,Mental health
Diabetes,Health
Dietary Supplements,Food and Beverages
Digital Divide,Community development
Disability,Disability
Disabled Sports,Sport
Disaster Relief,Emergencies
Discounts,Gifts-in-kind/Contra/Pro Bono
Diseases and Conditions,Health
Diversity,Diversity and culture
Diversity and culture,Diversity and culture
Diving,Sport
Domestic Violence,Families
Donations,Donations
Dragonboating,Sport
Drug Abuse,Addiction
Early Childhood Education,Education
Economic Development,Business and enterprise
Education,Education
Education-Equipment and Materials,Scholarships and Education
Educational Skills Development,Education
Elderly,Elderly
Electricity and Gas Industry,Electricity and Gas Industry
Electricity and Gas Industry,Utilities
Electricity Generation,Electricity and Gas Industry
Electricity Retailing,Electricity and Gas Industry
Electricity Retailing,Utilities
Electronics,Electronics
Emergencies,Emergencies
Emergency Services,Emergencies
Employment,Employment
Employment Skills Development,Employment
Endangered Species,Animals
Energy,Energy
Energy Efficiency,Environment
Engineering,Engineering
Entertainment,Entertainment
Entrepreneurs,Business and enterprise
Environment,Environment
Equal Opportunities,Employment
Equestrian,Sport
Equipment Hire,Business Services
Ex-offenders,Crime and justice
Exchange Programmes,Scholarships and Education
Extreme Sports,Sport
Families,Families
Fashion,Business and enterprise
Fast-Moving Consumer Goods (FMCGs),Fast-Moving Consumer Goods (FMCGs)
Film,Arts
Film and Video,Media and communications
Financial Education,Education
Financial Services,Financial Services
Fishing,Sport
Flying and Gliding,Sport
Food and Beverages,Food and Beverages
Forestry,Agriculture and Forestry
Foundation Grants,Foundation Grants
Funding and fundraising,Funding and fundraising
Gambling,Addiction
Gaming,Business Services
Gas Retailing,Electricity and Gas Industry
Gas Retailing,Utilities
Gay and lesbian,Gay and lesbian
Gifts-in-kind/Contra/Pro Bono,Gifts-in-kind/Contra/Pro Bono
Golf,Sport
Gymnastics,Sport
Health,Health
Health Foods and Beverages,Food and Beverages
Healthy Homes,Housing and homelessness
Helplines,Information
Heritage,Heritage
Historic Places,Heritage
HIV/AIDS,Health
Hockey,Sport
Horse racing,Sport
Horticulture,Agriculture and Forestry
Hospitality,Travel and Tourism
Hospitals,Health
"Hospitals, Clinics and Hospices",Health
Hotels,Travel and Tourism
Household and Personal Care,Household and Personal Care
Housing and homelessness,Housing and homelessness
Human rights,Human rights
ICT,Information Technology
Immigrant issues,Immigrant issues
Individuals,Education
Information,Information
Information Technology,Information Technology
Innovation,Business and enterprise
Insurance,Financial Services
Internet,Media and communications
Jazz,Arts
Leadership,Business and enterprise
Learning Disabilities,Disability
Legal,Legal
Leisure,Leisure
Libraries,Heritage
Life Skills,Personal development
Literacy,Education
Literature,Arts
Magazine Publishing,Media and communications
Manufacturing,Manufacturing
Maori,Maori
Maori Education,Maori
Martial Arts,Sport
Media,Media
Media and communications,Media and communications
Medical Research,Health
Mental health,Mental health
Motorcycling,Sport
Motoring,Recreation and leisure
Motorsports,Sport
Multisport Events,Sport
Museums,Heritage
Netball,Sport
Neurological Disorders,Health
Nutrition,Health
Oil and Petroleum,Oil and Petroleum
Opera,Arts
Organics,Agriculture and Forestry
Outdoor concerts,Arts
Outdoor Recreation,Recreation and leisure
Outward Bound,Personal development
Overseas aid and development,Overseas aid and development
Pacific Island,Pacific Island
Paper and Packaging,Paper and Packaging
Payroll or Employee Giving,Payroll or Employee Giving
Peace,Peace
Personal development,Personal development
Petroleum,Oil and Petroleum
Pharmaceutical,Pharmaceutical
Photography,Media and communications
Ports,Ports
Post and Freight,Post and Freight
Poverty,Poverty
Presbyterian,Religion
Primary Education,Education
Print,Print
"Products, Equipment and Services",Gifts-in-kind/Contra/Pro Bono
Professorships and Chairs,Scholarships and Education
Property,Property
Public Health,Health
Radio,Media and communications
Recreation and leisure,Recreation and leisure
Recruitment,Employment
Recycling,Environment
Religion,Religion
Religious Buildings,Religion
Research,Research
Retail,Retail
Road Safety,Safety
Rock Music,Arts
Rowing,Sport
Rugby,Sport
Rugby League,Sport
Rugby Union,Sport
Running,Sport
Rural Communities,Community development
Safety,Safety
Sailing,Sport
Scholarships,Scholarships and Education
Scholarships and Education,Scholarships and Education
Science,Science
Secondary Education,Education
Sector Development,Business and enterprise
Skiing and Snowboarding,Sport
Soccer,Sport
Social Justice,Social welfare
Social welfare,Social welfare
Special needs,Health
Sponsorship,Sponsorship
Sport,Sport
Squash,Sport
Staff Involvement,Staff Involvement
Staff Involvement - Fundraising,Staff Involvement
Staff Involvement - Governance,Staff Involvement
Staff Involvement - Mentoring,Staff Involvement
Staff Involvement - Secondments,Staff Involvement
Staff Involvement - Volunteering,Staff Involvement
Support and Welfare,Families
Surf-Lifesaving,Sport
Surfing,Sport
Sustainability,Sustainability
Swimming,Sport
Table Tennis,Sport
Te Reo Maori,Maori
Technology,Technology
Telecommunications,Telecommunications
Television,Media and communications
Tennis,Sport
Tertiary Education,Education
Theatre Companies and Theatres,Arts
Touring Arts,Arts
Tourism,Travel and Tourism
Trainees and Apprenticeships,Employment
Transport,Transport
Travel and Tourism,Travel and Tourism
Triathlon,Sport
Unemployment,Employment
Utilities,Utilities
Victims,Crime and justice
Volleyball,Sport
Voluntary sector,Voluntary sector
Water skiing,Sport
Water sports,Sport
Weightlifting,Sport
Wellbeing,Health
Wellbeing,Mental health
Wellbeing,Personal development
Wind Surfing,Sport
Winemaking,Agriculture and Forestry
Winemaking,Food and Beverages
Women,Women
Wrestling,Sport
Youth,Youth
Zoos and Wildlife Parks,Animals
