"AW_CODE","CRIT_CODE"
"100,002","B000000"
"100,002","D000052"
"100,002","F207001"
"100,002","J800000"
"100,002","K800000"
"100,002","L800000"
"100,002","O800001"
"100,002","P000050"
"100,002","Q000050"
"100,002","R800000"
"100,005","B000000"
"100,005","D000052"
"100,005","D000053"
"100,005","F207002"
"100,005","J800000"
"100,005","K800000"
"100,005","L800000"
"100,005","O800001"
"100,005","P000050"
"100,005","Q000050"
"100,005","R800000"
"100,006","B000000"
"100,006","D000052"
"100,006","D000053"
"100,006","F207003"
"100,006","J800000"
"100,006","K800000"
"100,006","L800000"
"100,006","O800001"
"100,006","P000050"
"100,006","Q000050"
"100,006","R800000"
"100,007","B000000"
"100,007","D000052"
"100,007","D000053"
"100,007","F207003"
"100,007","J800000"
"100,007","K800000"
"100,007","L800000"
"100,007","O800001"
"100,007","P000050"
"100,007","Q000050"
"100,007","R800000"
"100,008","B000000"
"100,008","D000052"
"100,008","D000053"
"100,008","D000063"
"100,008","F207004"
"100,008","J800000"
"100,008","K800000"
"100,008","L800000"
"100,008","N100000"
"100,008","O800001"
"100,008","P000050"
"100,008","Q000050"
"100,008","Q800035"
"100,008","Q800045"
"100,008","R800000"
"100,009","B000000"
"100,009","D000052"
"100,009","D000053"
"100,009","D000063"
"100,009","F207005"
"100,009","J800000"
"100,009","K800000"
"100,009","L800000"
"100,009","N100000"
"100,009","O800001"
"100,009","P000050"
"100,009","Q000050"
"100,009","Q800045"
"100,009","R800000"
"100,010","B000000"
"100,010","D000052"
"100,010","D000053"
"100,010","F207005"
"100,010","J800000"
"100,010","K800000"
"100,010","L800000"
"100,010","N100000"
"100,010","O800001"
"100,010","P000050"
"100,010","Q000050"
"100,010","Q800035"
"100,010","Q800045"
"100,010","R800000"
"100,011","B000000"
"100,011","D000052"
"100,011","D000053"
"100,011","F207006"
"100,011","H2"
"100,011","J800000"
"100,011","K800000"
"100,011","L800000"
"100,011","O800001"
"100,011","P000050"
"100,011","Q000050"
"100,011","R800000"
"100,013","B000000"
"100,013","D000053"
"100,013","D000063"
"100,013","F207007"
"100,013","J800000"
"100,013","K800000"
"100,013","L800000"
"100,013","N100000"
"100,013","O800001"
"100,013","P000050"
"100,013","Q000050"
"100,013","Q800035"
"100,013","Q800045"
"100,013","R800000"
"100,018","B0301"
"100,018","B030103"
"100,018","B050101"
"100,018","B050401"
"100,018","B0901"
"100,018","B17"
"100,018","D000052"
"100,018","D000053"
"100,018","F2"
"100,018","J800000"
"100,018","K800000"
"100,018","L800000"
"100,018","O800001"
"100,018","P000050"
"100,018","Q000050"
"100,018","R800000"
"100,020","B000000"
"100,020","D000052"
"100,020","D000053"
"100,020","H202"
"100,020","J800000"
"100,020","K800000"
"100,020","L800000"
"100,020","O800001"
"100,020","P000050"
"100,020","Q000050"
"100,020","R800000"
"100,027","B000000"
"100,027","D000051"
"100,027","D000052"
"100,027","F207001"
"100,027","F207002"
"100,027","F207003"
"100,027","F207004"
"100,027","F207005"
"100,027","F207006"
"100,027","F207007"
"100,027","F207008"
"100,027","J800000"
"100,027","K800000"
"100,027","L800000"
"100,027","O800001"
"100,027","P000050"
"100,027","Q000050"
"100,027","R800000"
"100,029","B0205"
"100,029","B050103"
"100,029","B050104"
"100,029","B0505"
"100,029","D000052"
"100,029","H201"
"100,029","H203"
"100,029","H205"
"100,029","H208"
"100,029","H209"
"100,029","J800000"
"100,029","K800000"
"100,029","L800000"
"100,029","O800001"
"100,029","P000050"
"100,029","Q000050"
"100,029","R800000"
"100,031","B000000"
"100,031","D000052"
"100,031","D000053"
"100,031","F2"
"100,031","F3"
"100,031","H2"
"100,031","J800000"
"100,031","K800000"
"100,031","L800000"
"100,031","O800001"
"100,031","P000050"
"100,031","Q000050"
"100,031","R800000"
"100,034","B060201"
"100,034","B060204"
"100,034","B0603"
"100,034","D000052"
"100,034","D000053"
"100,034","F2"
"100,034","H2"
"100,034","J800000"
"100,034","K800000"
"100,034","L800000"
"100,034","O800001"
"100,034","P000050"
"100,034","P000056"
"100,034","Q000050"
"100,034","R800000"
"100,035","B000000"
"100,035","D000052"
"100,035","D000053"
"100,035","D000061"
"100,035","H203"
"100,035","J800000"
"100,035","K800000"
"100,035","L800000"
"100,035","N100554"
"100,035","O800001"
"100,035","P000050"
"100,035","Q000050"
"100,035","Q800035"
"100,035","R800000"
"100,037","B0301"
"100,037","B050301"
"100,037","B06"
"100,037","D000052"
"100,037","D000053"
"100,037","D000054"
"100,037","D000061"
"100,037","F2"
"100,037","H2"
"100,037","J800000"
"100,037","K800000"
"100,037","L800000"
"100,037","O800001"
"100,037","P000050"
"100,037","Q000050"
"100,037","R800000"
"100,040","B0901"
"100,040","B0903"
"100,040","D000052"
"100,040","F2"
"100,040","J800000"
"100,040","K800000"
"100,040","L800000"
"100,040","O800001"
"100,040","P000050"
"100,040","Q000050"
"100,040","R800000"
"100,043","B000000"
"100,043","D000052"
"100,043","H202"
"100,043","J800000"
"100,043","K800000"
"100,043","L800000"
"100,043","O800001"
"100,043","P000050"
"100,043","Q000050"
"100,043","R800000"
"100,045","B020202"
"100,045","B05"
"100,045","B06"
"100,045","D000052"
"100,045","D000061"
"100,045","F2"
"100,045","H2"
"100,045","J800000"
"100,045","K800000"
"100,045","L800000"
"100,045","O800001"
"100,045","P000050"
"100,045","Q000050"
"100,045","R800000"
"100,046","B06"
"100,046","B07"
"100,046","B0901"
"100,046","D000052"
"100,046","F2"
"100,046","F3"
"100,046","H2"
"100,046","J800000"
"100,046","K800000"
"100,046","L800000"
"100,046","O800001"
"100,046","P000050"
"100,046","Q000050"
"100,046","R800000"
"100,048","B0205"
"100,048","B05"
"100,048","B050102"
"100,048","B050401"
"100,048","B0505"
"100,048","B0506"
"100,048","D000052"
"100,048","H2"
"100,048","J800000"
"100,048","K800000"
"100,048","L800000"
"100,048","O800001"
"100,048","P000050"
"100,048","Q000050"
"100,048","R800000"
"100,049","B000000"
"100,049","D000052"
"100,049","D000054"
"100,049","H202"
"100,049","J800000"
"100,049","K800000"
"100,049","L800000"
"100,049","O800001"
"100,049","P000050"
"100,049","Q000050"
"100,049","R800000"
"100,052","B000000"
"100,052","D000056"
"100,052","H202"
"100,052","J800000"
"100,052","K800000"
"100,052","L800000"
"100,052","O800001"
"100,052","P000050"
"100,052","Q000050"
"100,052","R800000"
"100,053","B0901"
"100,053","D000051"
"100,053","D000056"
"100,053","F2"
"100,053","J800000"
"100,053","K800000"
"100,053","L800000"
"100,053","O800001"
"100,053","P000050"
"100,053","Q800009"
"100,053","R800000"
"100,054","B050104"
"100,054","B060102"
"100,054","B060104"
"100,054","D000051"
"100,054","D000056"
"100,054","F2"
"100,054","J800000"
"100,054","K800000"
"100,054","L800000"
"100,054","O800001"
"100,054","P000050"
"100,054","Q000050"
"100,054","R800000"
"100,056","B000000"
"100,056","D000051"
"100,056","D000056"
"100,056","F2"
"100,056","F3"
"100,056","J800000"
"100,056","K800000"
"100,056","L800000"
"100,056","O800001"
"100,056","P000050"
"100,056","Q000050"
"100,056","R800000"
"100,057","B030004"
"100,057","B0301"
"100,057","B0303"
"100,057","D000056"
"100,057","F207001"
"100,057","F207007"
"100,057","J800000"
"100,057","K800000"
"100,057","L800000"
"100,057","O800001"
"100,057","P000050"
"100,057","Q000050"
"100,057","R800000"
"100,062","B0901"
"100,062","D000052"
"100,062","F207003"
"100,062","J800000"
"100,062","K800000"
"100,062","L800000"
"100,062","O800001"
"100,062","P000050"
"100,062","Q000050"
"100,062","R800000"
"100,069","B0901"
"100,069","B17"
"100,069","D000052"
"100,069","F207003"
"100,069","J800000"
"100,069","K800000"
"100,069","L800000"
"100,069","O800001"
"100,069","P000050"
"100,069","Q000050"
"100,069","R800000"
"100,073","B0901"
"100,073","B0902"
"100,073","D000052"
"100,073","D000053"
"100,073","D000063"
"100,073","F2"
"100,073","H2"
"100,073","J800000"
"100,073","K800000"
"100,073","L800000"
"100,073","O800001"
"100,073","P000050"
"100,073","Q000050"
"100,073","R800000"
"100,076","B0901"
"100,076","D000051"
"100,076","D000052"
"100,076","F207003"
"100,076","J800000"
"100,076","K800000"
"100,076","L800000"
"100,076","O800001"
"100,076","P000050"
"100,076","Q000050"
"100,076","R800000"
"100,080","B050402"
"100,080","B17"
"100,080","D000051"
"100,080","D000061"
"100,080","F207003"
"100,080","J800000"
"100,080","K800000"
"100,080","L800000"
"100,080","O800001"
"100,080","P000050"
"100,080","Q000050"
"100,080","R800000"
"100,097","B09"
"100,097","D000052"
"100,097","H2"
"100,097","J800000"
"100,097","K800000"
"100,097","L800000"
"100,097","O800001"
"100,097","P000050"
"100,097","Q000050"
"100,097","R800000"
"100,098","B0901"
"100,098","D000051"
"100,098","D000052"
"100,098","D000056"
"100,098","D000060"
"100,098","F2"
"100,098","F3"
"100,098","J800000"
"100,098","K800000"
"100,098","L800000"
"100,098","O800001"
"100,098","P000050"
"100,098","Q000050"
"100,098","Q800042"
"100,098","R800000"
"100,100","B17"
"100,100","D000052"
"100,100","D000053"
"100,100","D000061"
"100,100","F207003"
"100,100","J800000"
"100,100","K800000"
"100,100","L800000"
"100,100","O800001"
"100,100","P000050"
"100,100","Q000050"
"100,100","R800000"
"100,102","B06"
"100,102","B09"
"100,102","B0901"
"100,102","B0902"
"100,102","B1106"
"100,102","D000052"
"100,102","D000063"
"100,102","F207001"
"100,102","J800000"
"100,102","K800000"
"100,102","L800000"
"100,102","O800001"
"100,102","P000050"
"100,102","Q000050"
"100,102","R800000"
"100,105","B0902"
"100,105","D000051"
"100,105","D000052"
"100,105","D000053"
"100,105","D000056"
"100,105","F1"
"100,105","F2"
"100,105","J800000"
"100,105","K800000"
"100,105","L800000"
"100,105","O800001"
"100,105","P000050"
"100,105","Q000050"
"100,105","R800018"
"100,106","B060101"
"100,106","B060102"
"100,106","D000052"
"100,106","D000053"
"100,106","F207005"
"100,106","F207006"
"100,106","F207007"
"100,106","J800000"
"100,106","K800000"
"100,106","L800000"
"100,106","O800001"
"100,106","P000050"
"100,106","Q000050"
"100,106","R800000"
"100,112","B04"
"100,112","D000052"
"100,112","D000055"
"100,112","F1"
"100,112","F2"
"100,112","F3"
"100,112","J800000"
"100,112","K800000"
"100,112","L800000"
"100,112","O800001"
"100,112","P000050"
"100,112","Q000050"
"100,112","R800000"
"100,113","B0901"
"100,113","D000051"
"100,113","F207006"
"100,113","J800000"
"100,113","K800000"
"100,113","L800000"
"100,113","O800001"
"100,113","P000050"
"100,113","Q000050"
"100,113","R800000"
"100,122","B17"
"100,122","D000051"
"100,122","F207003"
"100,122","J800000"
"100,122","K800000"
"100,122","L800000"
"100,122","O800001"
"100,122","P000050"
"100,122","Q000050"
"100,122","R800000"
"100,124","B020401"
"100,124","D000051"
"100,124","F207003"
"100,124","J800000"
"100,124","K800000"
"100,124","L800000"
"100,124","O800001"
"100,124","P000050"
"100,124","Q000050"
"100,124","R800000"
"100,125","B09"
"100,125","D000051"
"100,125","F207003"
"100,125","J800000"
"100,125","K800000"
