"SchemeCode","CritCode"
"200,003",1
"200,003","4,157"
"200,003","4,174"
"200,003","4,184"
"200,003","4,188"
"200,003","4,195"
"200,003","4,200"
"200,003","4,201"
"200,003","5,000"
"200,003","5,005"
"200,004",1
"200,004","4,025"
"200,004","4,184"
"200,004","4,195"
"200,004","5,024"
"200,004","5,027"
"200,004","5,035"
"200,004","5,043"
"200,004","5,074"
"200,004","5,162"
"200,004","5,194"
"200,004","5,195"
"200,004","5,235"
"200,004","5,245"
"200,008",1
"200,008","4,002"
"200,008","4,174"
"200,008","4,195"
"200,008","4,200"
"200,008","4,201"
"200,008","5,043"
"200,008","5,046"
"200,008","5,192"
"200,008","5,209"
"200,012",1
"200,012","4,045"
"200,012","4,174"
"200,012","4,195"
"200,012","4,200"
"200,012","4,201"
"200,012","5,027"
"200,012","5,043"
"200,012","5,074"
"200,012","5,164"
"200,012","5,185"
"200,015",1
"200,015","4,000"
"200,015","5,025"
"200,015","5,026"
"200,015","5,046"
"200,015","5,194"
"200,017",1
"200,017","4,174"
"200,017","4,195"
"200,017","4,201"
"200,017","5,000"
"200,017","6,102"
"200,017","6,601"
"200,017","6,602"
"200,017","6,603"
"200,017","7,104"
"200,017","7,110"
"200,017","8,100"
"200,022",1
"200,022","4,016"
"200,022","5,000"
"200,022","5,025"
"200,022","5,187"
"200,024",1
"200,024","4,122"
"200,024","5,026"
"200,024","5,046"
"200,024","5,076"
"200,026",1
"200,026","4,174"
"200,026","5,074"
"200,028",1
"200,028","4,045"
"200,028","4,076"
"200,028","4,122"
"200,028","4,181"
"200,028","4,195"
"200,028","4,201"
"200,028","5,025"
"200,028","5,187"
"200,034",5
"200,034",17
"200,034",73
"200,034","4,000"
"200,034","5,005"
"200,034","5,024"
"200,034","5,035"
"200,034","5,043"
"200,034","5,044"
"200,034","5,074"
"200,034","5,196"
"200,034","5,245"
"200,034","6,103"
"200,034","6,601"
"200,034","6,602"
"200,034","7,100"
"200,034","8,100"
"200,039",1
"200,039","4,000"
"200,039","5,025"
"200,039","5,043"
"200,039","5,053"
"200,039","5,074"
"200,039","5,164"
"200,039","5,194"
"200,040",1
"200,040","4,002"
"200,040","4,003"
"200,040","4,045"
"200,040","4,174"
"200,040","4,200"
"200,040","4,201"
"200,040","4,225"
"200,040","5,076"
"200,041",1
"200,041","4,056"
"200,041","4,123"
"200,041","5,133"
"200,043",1
"200,043","4,002"
"200,043","4,172"
"200,043","4,174"
"200,043","4,200"
"200,043","5,076"
"200,048",1
"200,048","4,016"
"200,048","4,044"
"200,048","4,045"
"200,048","4,049"
"200,048","4,122"
"200,048","5,026"
"200,048","5,076"
"200,048","5,133"
"200,051",13
"200,051","4,016"
"200,051","4,045"
"200,051","4,115"
"200,051","4,195"
"200,051","5,005"
"200,051","5,025"
"200,051","5,196"
"200,051","6,101"
"200,051","6,103"
"200,051","6,105"
"200,051","6,106"
"200,051","6,107"
"200,051","6,108"
"200,051","6,109"
"200,051","6,110"
"200,051","6,111"
"200,051","6,112"
"200,051","6,113"
"200,051","6,114"
"200,051","6,601"
"200,051","6,602"
"200,051","7,101"
"200,051","7,102"
"200,051","8,100"
"200,053",1
"200,053","4,000"
"200,053","5,163"
"200,056",1
"200,056","4,000"
"200,056","5,005"
"200,056","5,024"
"200,056","5,025"
"200,056","5,043"
"200,056","5,046"
"200,056","5,196"
"200,056","5,245"
"200,056","6,100"
"200,056","6,601"
"200,056","6,602"
"200,056","7,100"
"200,056","8,100"
"200,057",1
"200,057","4,000"
"200,057","5,026"
"200,057","5,046"
"200,068",1
"200,068","4,181"
"200,068","5,025"
"200,068","5,026"
"200,068","5,045"
"200,068","5,046"
"200,072",1
"200,072","4,000"
"200,072","5,005"
"200,072","5,024"
"200,072","5,025"
"200,072","5,043"
"200,072","5,044"
"200,072","5,074"
"200,072","5,167"
"200,072","5,196"
"200,072","5,245"
"200,072","6,101"
"200,072","6,103"
"200,072","6,105"
"200,072","6,106"
"200,072","6,107"
"200,072","6,108"
"200,072","6,109"
"200,072","6,110"
"200,072","6,111"
"200,072","6,112"
"200,072","6,113"
"200,072","6,114"
"200,072","6,600"
"200,072","7,100"
"200,072","8,100"
"200,076",1
"200,076","4,000"
"200,076","5,024"
"200,076","5,025"
"200,076","5,043"
"200,076","5,053"
"200,076","5,074"
"200,076","5,085"
"200,076","5,164"
"200,076","5,167"
"200,076","5,194"
"200,076","5,245"
"200,077",1
"200,077","4,002"
"200,077","4,045"
"200,077","4,174"
"200,077","4,195"
"200,077","4,197"
"200,077","4,200"
"200,077","4,201"
"200,077","5,005"
"200,082",53
"200,082","4,000"
"200,082","5,024"
"200,082","5,025"
"200,082","5,044"
"200,082","5,074"
"200,082","5,164"
"200,082","5,185"
"200,082","5,245"
"200,086",23
"200,086","4,006"
"200,086","4,045"
"200,086","4,049"
"200,086","4,157"
"200,086","4,185"
"200,086","4,195"
"200,086","4,214"
"200,086","5,005"
"200,086","5,025"
"200,086","5,047"
"200,086","5,133"
"200,086","5,161"
"200,087",1
"200,087","4,000"
"200,087","4,003"
"200,087","4,016"
"200,087","4,045"
"200,087","4,157"
