SchemeCode,FundsAvailable,GrantsInAYear,FundsInAYear
"200,003",0,,0
"200,004","150,000.00",101,"155,200.00"
"200,008","15,000.00",1,"15,000.00"
"200,012",0,25,0
"200,015","250,000.00",33,0
"200,017",0,8,"42,000.00"
"200,022","13,000,000.00",77,"13,000,000.00"
"200,024","999,999,999.99",219,"5,570,804.00"
"200,026","1,900,000.00",32,"2,054,088.00"
"200,028","15,000.00",19,"83,000.00"
"200,034","100,000.00",98,"108,426.00"
"200,039",0,850,"600,000.00"
"200,040","95,000.00",10,"100,000.00"
"200,041","26,000,000.00",,"20,000,000.00"
"200,043","75,000.00",15,"98,177.00"
"200,048","500,000.00",9,"500,000.00"
"200,051","200,000.00",5,"199,328.00"
"200,053","150,000.00",20,"110,000.00"
"200,056",0,148,0
"200,057","300,000.00",30,"300,000.00"
"200,068","100,000,000.00","3,928","39,000,000.00"
"200,072",0,"2,149","33,239,790.02"
"200,076","2,000,000.00",47,"2,432,620.00"
"200,077","2,000.00",3,"2,000.00"
"200,082","30,000.00",0,0
"200,086","35,000.00",13,"24,287.00"
"200,087","1,520,000.00",23,"980,000.00"
"200,089","181,000.00",0,"200,000.00"
"200,093","23,000.00",0,0
"200,097","30,000.00",15,"20,000.00"
"200,102","110,000.00",0,"110,000.00"
"200,103",0,24,"1,000,000.00"
"200,109","14,000,000.00","4,143","13,873,000.00"
"200,114","90,000.00",40,"82,500.00"
"200,117","60,000.00",60,"60,000.00"
"200,121",0,100,"568,364.00"
"200,122",0,,0
"200,133","100,000.00",25,"100,000.00"
"200,134","200,000.00",140,"200,000.00"
"200,137","90,000.00",63,"93,000.00"
"200,141","10,000.00",8,"10,000.00"
"200,156","25,000.00",37,"25,000.00"
"200,157","56,100.00",51,"56,100.00"
"200,160",0,67,"416,196.00"
"200,170",0,11,"75,000.00"
"200,172","2,000,000.00",664,"2,314,659.00"
"200,173",0,97,"103,000.00"
"200,175","6,200,000.00",876,"7,200,000.00"
"200,178","7,500.00",7,"8,000.00"
"200,187",0,30,"20,000.00"
"200,191","88,000.00",47,"1,160,537.00"
"200,196",0,4,"16,000.00"
"200,207","15,000.00",43,"15,000.00"
"200,208","20,000.00",,"20,000.00"
"200,209","162,000.00",97,"220,000.00"
"200,211","161,000.00",53,"161,000.00"
"200,213",0,416,"9,548,582.00"
"200,215","1,300,000.00",104,"1,212,000.00"
"200,218","5,500,000.00",148,"1,433,500.00"
"200,219",0,46,"71,073.00"
"200,226","15,000.00",13,0
"200,233","60,000.00",35,"66,900.00"
"200,235","28,733.00",22,"33,507.00"
"200,236",0,0,0
"200,242","70,000.00",0,0
"200,253","15,944.00",2,"12,901.00"
"200,263",0,0,0
"200,265","1,500,000.00",34,"1,500,000.00"
"200,267",0,0,0
"200,272","1,000,000.00",150,"973,042.00"
"200,278",0,39,"204,000.00"
"200,295","3,000,000.00",850,"3,000,000.00"
"200,297","1,600,000.00","1,130","1,600,000.00"
"200,307","15,000.00",27,"15,000.00"
"200,316",0,,0
"200,326",0,94,"1,119,860.00"
"200,328",0,33,"897,182.00"
"200,329","3,000,000.00",,"3,800,000.00"
"200,331","1,000,000.00",170,"1,116,027.00"
