TA2013_label,NUMBER_OF_DONORS,CHURCHPAID,OTHER_DONATIONS,TOT_DONATIONS_PAID,PERCENT_OF_DONORS,PERCENT_CHURCHPAID,PERCENT_OTHER_DONATIONS,PERCENT_TOT_DONATIONS_PAID
Auckland,"135,368","$179,735,916","$66,343,191","$246,079,107",36.08,43.92,33.69,40.60
Christchurch City,"29,783","$33,159,926","$17,216,625","$50,376,550",7.94,8.10,8.74,8.31
Wellington City,"21,064","$20,268,897","$19,493,158","$39,762,055",5.61,4.95,9.90,6.56
Hamilton City,"13,110","$19,506,585","$6,647,335","$26,153,920",3.49,4.77,3.38,4.31
Lower Hutt City,"9,121","$11,548,145","$3,916,687","$15,464,832",2.43,2.82,1.99,2.55
Tauranga City,"9,509","$9,408,543","$4,728,199","$14,136,742",2.53,2.30,2.40,2.33
Dunedin City,"8,963","$8,797,364","$5,001,861","$13,799,224",2.39,2.15,2.54,2.28
Unknown_TA,"11,627","$5,678,607","$6,575,636","$12,254,243",3.10,1.39,3.34,2.02
Palmerston North C,"6,758","$7,899,734","$3,689,240","$11,588,975",1.80,1.93,1.87,1.91
Hastings District,"6,294","$6,373,930","$3,156,126","$9,530,057",1.68,1.56,1.60,1.57
Whangarei District,"6,093","$6,314,797","$2,890,519","$9,205,316",1.62,1.54,1.47,1.52
Porirua City,"4,698","$6,932,667","$1,543,646","$8,476,313",1.25,1.69,0.78,1.40
Waikato District,"4,861","$5,193,171","$2,407,098","$7,600,269",1.30,1.27,1.22,1.25
Waipa District,"4,803","$4,618,882","$2,604,434","$7,223,316",1.28,1.13,1.32,1.19
New Plymouth Distr,"6,592","$4,719,271","$2,356,000","$7,075,271",1.76,1.15,1.20,1.17
Rotorua District,"3,957","$3,824,866","$2,751,842","$6,576,708",1.05,0.93,1.40,1.08
Tasman District,"4,094","$3,755,349","$2,649,129","$6,404,478",1.09,0.92,1.35,1.06
Nelson City,"4,061","$4,272,605","$1,990,716","$6,263,321",1.08,1.04,1.01,1.03
Invercargill City,"3,832","$4,042,694","$1,925,698","$5,968,393",1.02,0.99,0.98,0.98
Kapiti Coast Distr,"4,630","$3,319,660","$2,440,801","$5,760,461",1.23,0.81,1.24,0.95
Napier City,"4,676","$3,338,575","$2,307,236","$5,645,810",1.25,0.82,1.17,0.93
Western Bay of Ple,"4,022","$2,921,612","$1,668,387","$4,589,999",1.07,0.71,0.85,0.76
Wanganui District,"2,903","$3,100,226","$1,342,521","$4,442,748",0.77,0.76,0.68,0.73
Upper Hutt City,"3,217","$3,254,196","$1,179,672","$4,433,868",0.86,0.80,0.60,0.73
Far North District,"3,250","$2,797,687","$1,531,023","$4,328,710",0.87,0.68,0.78,0.71
Selwyn District,"3,019","$2,804,794","$1,438,590","$4,243,384",0.80,0.69,0.73,0.70
Timaru District,"3,650","$2,551,841","$1,629,046","$4,180,887",0.97,0.62,0.83,0.69
Matamata-Piako Dis,"2,681","$2,359,394","$1,792,763","$4,152,158",0.71,0.58,0.91,0.69
Marlborough Distri,"3,196","$2,575,473","$1,317,936","$3,893,409",0.85,0.63,0.67,0.64
Waimakariri Distri,"2,968","$2,525,590","$1,258,469","$3,784,059",0.79,0.62,0.64,0.62
Gisborne District,"2,353","$2,186,007","$1,193,176","$3,379,183",0.63,0.53,0.61,0.56
Ashburton District,"2,321","$1,747,473","$1,157,762","$2,905,235",0.62,0.43,0.59,0.48
Whakatane District,"2,082","$2,032,837","$833,464","$2,866,302",0.55,0.50,0.42,0.47
Southland District,"1,840","$1,809,358","$961,175","$2,770,533",0.49,0.44,0.49,0.46
Queenstown-Lakes D,"1,989","$1,145,274","$1,487,156","$2,632,430",0.53,0.28,0.76,0.43
Horowhenua Distric,"1,963","$1,810,584","$802,380","$2,612,965",0.52,0.44,0.41,0.43
Masterton District,"2,031","$1,510,393","$882,662","$2,393,055",0.54,0.37,0.45,0.39
Kaipara District,"1,242","$1,041,372","$1,318,280","$2,359,651",0.33,0.25,0.67,0.39
Manawatu District,"1,838","$1,314,948","$839,876","$2,154,824",0.49,0.32,0.43,0.36
Waitaki District,"1,506","$1,474,757","$673,603","$2,148,360",0.40,0.36,0.34,0.35
South Taranaki Dis,"2,101","$1,202,365","$935,498","$2,137,863",0.56,0.29,0.48,0.35
Taupo District,"2,034","$1,237,816","$761,382","$1,999,199",0.54,0.30,0.39,0.33
Thames-Coromandel,"1,817","$974,847","$995,224","$1,970,072",0.48,0.24,0.51,0.33
Clutha District,"1,117","$966,178","$772,180","$1,738,358",0.30,0.24,0.39,0.29
South Waikato Dist,"1,268","$1,168,370","$554,399","$1,722,770",0.34,0.29,0.28,0.28
Gore District,"1,011","$899,549","$603,801","$1,503,350",0.27,0.22,0.31,0.25
Central Otago Dist,"1,246","$803,374","$503,517","$1,306,892",0.33,0.20,0.26,0.22
Tararua District,"1,315","$751,786","$539,470","$1,291,256",0.35,0.18,0.27,0.21
Hauraki District,"1,065","$812,841","$419,162","$1,232,003",0.28,0.20,0.21,0.20
Grey District,656,"$662,664","$367,815","$1,030,479",0.17,0.16,0.19,0.17
Otorohanga Distric,710,"$478,997","$444,718","$923,716",0.19,0.12,0.23,0.15
South Wairarapa Di,953,"$538,495","$368,255","$906,750",0.25,0.13,0.19,0.15
Central Hawke's Ba,976,"$415,843","$487,730","$903,573",0.26,0.10,0.25,0.15
Rangitikei Distric,897,"$630,296","$259,086","$889,383",0.24,0.15,0.13,0.15
Carterton District,729,"$518,350","$361,351","$879,701",0.19,0.13,0.18,0.15
Hurunui District,765,"$427,466","$447,995","$875,461",0.20,0.10,0.23,0.14
Stratford District,734,"$494,988","$295,795","$790,783",0.20,0.12,0.15,0.13
Ruapehu District,515,"$292,988","$346,374","$639,362",0.14,0.07,0.18,0.11
Buller District,458,"$338,058","$291,375","$629,433",0.12,0.08,0.15,0.10
Waimate District,461,"$302,512","$196,031","$498,543",0.12,0.07,0.10,0.08
Opotiki District,410,"$310,364","$160,442","$470,806",0.11,0.08,0.08,0.08
Waitomo District,466,"$248,632","$171,186","$419,818",0.12,0.06,0.09,0.07
Westland District,418,"$239,800","$167,038","$406,839",0.11,0.06,0.08,0.07
Wairoa District,335,"$194,631","$186,999","$381,629",0.09,0.05,0.09,0.06
Kawerau District,270,"$294,346","$66,624","$360,970",0.07,0.07,0.03,0.06
Kaikoura District,215,"$180,220","$143,711","$323,931",0.06,0.04,0.07,0.05
Mackenzie District,285,"$171,961","$122,478","$294,438",0.08,0.04,0.06,0.05
Chatham Islands Te,12,"$1,200","$3,670","$4,870",0.00,0.00,0.00,0.00
