TA2013_label,NUMBER_OF_DONORS,CHURCHPAID,OTHERDON,TOT_DONPAID
Unknown_TA,"11,627","$5,678,607","$6,575,636","$12,254,243"
Ashburton District,"2,321","$1,747,473","$1,157,762","$2,905,235"
Auckland,"135,368","$179,735,916","$66,343,191","$246,079,107"
Buller District,458,"$338,058","$291,375","$629,433"
Carterton District,729,"$518,350","$361,351","$879,701"
Central Hawke's Ba,976,"$415,843","$487,730","$903,573"
Central Otago Dist,"1,246","$803,374","$503,517","$1,306,892"
Chatham Islands Te,12,"$1,200","$3,670","$4,870"
Christchurch City,"29,783","$33,159,926","$17,216,625","$50,376,550"
Clutha District,"1,117","$966,178","$772,180","$1,738,358"
Dunedin City,"8,963","$8,797,364","$5,001,861","$13,799,224"
Far North District,"3,250","$2,797,687","$1,531,023","$4,328,710"
Gisborne District,"2,353","$2,186,007","$1,193,176","$3,379,183"
Gore District,"1,011","$899,549","$603,801","$1,503,350"
Grey District,656,"$662,664","$367,815","$1,030,479"
Hamilton City,"13,110","$19,506,585","$6,647,335","$26,153,920"
Hastings District,"6,294","$6,373,930","$3,156,126","$9,530,057"
Hauraki District,"1,065","$812,841","$419,162","$1,232,003"
Horowhenua Distric,"1,963","$1,810,584","$802,380","$2,612,965"
Hurunui District,765,"$427,466","$447,995","$875,461"
Invercargill City,"3,832","$4,042,694","$1,925,698","$5,968,393"
Kaikoura District,215,"$180,220","$143,711","$323,931"
Kaipara District,"1,242","$1,041,372","$1,318,280","$2,359,651"
Kapiti Coast Distr,"4,630","$3,319,660","$2,440,801","$5,760,461"
Kawerau District,270,"$294,346","$66,624","$360,970"
Lower Hutt City,"9,121","$11,548,145","$3,916,687","$15,464,832"
Mackenzie District,285,"$171,961","$122,478","$294,438"
Manawatu District,"1,838","$1,314,948","$839,876","$2,154,824"
Marlborough Distri,"3,196","$2,575,473","$1,317,936","$3,893,409"
Masterton District,"2,031","$1,510,393","$882,662","$2,393,055"
Matamata-Piako Dis,"2,681","$2,359,394","$1,792,763","$4,152,158"
Napier City,"4,676","$3,338,575","$2,307,236","$5,645,810"
Nelson City,"4,061","$4,272,605","$1,990,716","$6,263,321"
New Plymouth Distr,"6,592","$4,719,271","$2,356,000","$7,075,271"
Opotiki District,410,"$310,364","$160,442","$470,806"
Otorohanga Distric,710,"$478,997","$444,718","$923,716"
Palmerston North C,"6,758","$7,899,734","$3,689,240","$11,588,975"
Porirua City,"4,698","$6,932,667","$1,543,646","$8,476,313"
Queenstown-Lakes D,"1,989","$1,145,274","$1,487,156","$2,632,430"
Rangitikei Distric,897,"$630,296","$259,086","$889,383"
Rotorua District,"3,957","$3,824,866","$2,751,842","$6,576,708"
Ruapehu District,515,"$292,988","$346,374","$639,362"
Selwyn District,"3,019","$2,804,794","$1,438,590","$4,243,384"
South Taranaki Dis,"2,101","$1,202,365","$935,498","$2,137,863"
South Waikato Dist,"1,268","$1,168,370","$554,399","$1,722,770"
South Wairarapa Di,953,"$538,495","$368,255","$906,750"
Southland District,"1,840","$1,809,358","$961,175","$2,770,533"
Stratford District,734,"$494,988","$295,795","$790,783"
Tararua District,"1,315","$751,786","$539,470","$1,291,256"
Tasman District,"4,094","$3,755,349","$2,649,129","$6,404,478"
Taupo District,"2,034","$1,237,816","$761,382","$1,999,199"
Tauranga City,"9,509","$9,408,543","$4,728,199","$14,136,742"
Thames-Coromandel,"1,817","$974,847","$995,224","$1,970,072"
Timaru District,"3,650","$2,551,841","$1,629,046","$4,180,887"
Upper Hutt City,"3,217","$3,254,196","$1,179,672","$4,433,868"
Waikato District,"4,861","$5,193,171","$2,407,098","$7,600,269"
Waimakariri Distri,"2,968","$2,525,590","$1,258,469","$3,784,059"
Waimate District,461,"$302,512","$196,031","$498,543"
Waipa District,"4,803","$4,618,882","$2,604,434","$7,223,316"
Wairoa District,335,"$194,631","$186,999","$381,629"
Waitaki District,"1,506","$1,474,757","$673,603","$2,148,360"
Waitomo District,466,"$248,632","$171,186","$419,818"
Wanganui District,"2,903","$3,100,226","$1,342,521","$4,442,748"
Wellington City,"21,064","$20,268,897","$19,493,158","$39,762,055"
Western Bay of Ple,"4,022","$2,921,612","$1,668,387","$4,589,999"
Westland District,418,"$239,800","$167,038","$406,839"
Whakatane District,"2,082","$2,032,837","$833,464","$2,866,302"
Whangarei District,"6,093","$6,314,797","$2,890,519","$9,205,316"
